What objects that satisfy the following statement : (subject : Nobel Prize in Physiology or Medicine | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Togo | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Paraguay | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Argentina | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ireland | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Belize | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Georgia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ukraine | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Moldova | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saudi Arabia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Western Sahara | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tajikistan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vatican City | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Haiti | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zimbabwe | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Madeira | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kiribati | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Macau | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Suriname | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : United Arab Emirates | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Monaco | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lebanon | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Canada | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Guinea | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Spain | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Fiji | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Belgium | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Finland | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Uzbekistan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vietnam | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : São Tomé and Príncipe | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ecuador | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Myanmar | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Afghanistan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Israel | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Republic of the Congo | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chile | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Luxembourg | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Uganda | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Indonesia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saint Vincent and the Grenadines | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tanzania | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bolivia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Estonia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Syria | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kenya | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Liechtenstein | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cuba | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Costa Rica | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Grenada | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Colombia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Netherlands | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Qatar | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Seychelles | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Singapore | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nigeria | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Denmark | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pakistan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Dave Keon | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Agneta Pleijel | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Magomedovich Semyonov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Nobuyoshi Araki | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Egbert Mulder | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Uwe Timm | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Henk van Kerkwijk | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Alessandra Melucco Vaccaro | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jūrō Kara | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Godfrey Hewitt | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Edward Soja | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Paul Wehrle | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Sergiusz Plewa | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Valentina Sharykina | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bulat Minzhilkiev | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Elsa Peretti | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vicente Fernández | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Milan Lasica | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Nury Halmammedov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mirjam Pressler | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Yefim Basin | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Berit Mørdre Lammedal | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Zbigniew Romaszewski | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : François Piquet | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ricky Nelson | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Thomas V. Draude | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Rosa Posada | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Joan Solà Cortassa | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Solomon Burke | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Lasse Åberg | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gunther Kress | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Joachim Gauck | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Josep Maria Benet i Jornet | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Michael Rose | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Peter Eisenberg | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Zsuzsa Vathy | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Karl Lennartz | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Aleksandr Neumyvakin | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ina May Gaskin | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jochen Borchert | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Endre Bojtár | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jan Turski | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : René Koering | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Isao Harimoto | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Thomas R. P. Mielke | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Adel Emam | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Herbert Joos | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Stan Mikita | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mike Hailwood | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Antoni Krauze | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : George R. Christmas | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Konrad Rufus Müller | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Marianna Rumjantseva | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Basina Kloos | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Lyudmila Shishova | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Angelo Rinaldi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : George Akerlof | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Valery Grigorievich Sushko | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Frederick Brownell | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Valeriu Pantazi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ciro de Quadros | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Māris Čaklais | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Heinz Rudolf Sonntag | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Edmund White | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Armin Maiwald | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Thomas M. Disch | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Pavel Šrut | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Aleksandr Proshkin | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Dietmar Hopp | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Tamás Raj | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Harald Gerlach | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Hans-Olaf Henkel | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Klaus-Dieter Lehmann | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Yurzinov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Punathil Kunjabdulla | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Veerappa Moily | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Luis Valdez | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Joan Nestle | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Dieter Mertens | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jeroen Brouwers | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Veikko Kankkonen | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : José Luis Gómez | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vasil Tatsiy | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Alan Kay | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Kumar Bhattacharyya, Baron Bhattacharyya | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Frans Molenaar | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bikash Bhattacharjee | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Orlando Patterson | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vasyl Ivánovich Popadyuk | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Carlos Goberna | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gennady Vasilyev | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Hariton Pushwagner | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vyacheslav Starshinov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gary R. Pfingston | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Al Pacino | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Erna Brodber | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Yuri Koptev | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Liudmila Belavenets | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Igor Chkola | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Peter Fonda | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Love & Hip Hop: New York | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bone Chillers | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Inside Men | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Hot l Baltimore | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Gotham | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Power Rangers Jungle Fury | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Baskets | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Hope | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Esperándote | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Kisarazu Cat's Eye | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : South of Nowhere | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Limbo | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Jamie Kennedy Experiment | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Is It Possible? | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The New Worst Witch | relation : seriesHasNumberOfEpisodes | objects : ?)
